"gene_names","var_zt","var_ict"
"MRPL18",0.8077,0.5947
"WDR81",1.1806,1.25
"GNGT2",0.8984,1.0789
"RIOK2",1.2808,1.121
"WDR5",1.5215,1.6949
"C6orf1",1.3698,1.4361
"YWHAG",1.3079,1.4509
"GALNT14",0.9255,0.7874
"GLCCI1",1.5721,1.3926
"SLC39A9",1.4388,1.4285
"DCXR",1.3747,1.4355
"ACSL1",0.9082,0.6399
"DLAT",1.1616,1.0114
"KRAS",1.823,1.8563
"PLXDC1",0.9205,0.6364
"YY1AP1",1.6894,1.5151
"THOC2",1.1777,0.9204
"LMNB1",1.1743,1.0276
"MRPL40",1.3249,1.0807
"GCH1",1.6726,1.6183
"AKAP13",1.4907,1.3115
"IMPA1",1.5363,1.3632
"SNX14",1.4078,1.1241
"CYB5R4",0.7796,0.7512
"MARCO",1.5638,1.2284
"SCFD1",1.0952,0.7937
"GMEB1",0.48,0.4673
"RASGRP1",0.8534,0.6958
"CD93",0.8638,0.6231
"JTB",1.4777,1.3152
"ZFAT",1.2628,1.1439
"SUPT7L",0.8505,0.6648
"SLAMF7",1.7964,1.766
"C14orf166",1.0268,0.7371
"ASNSD1",1.4222,1.2519
"CCDC91",0.8781,0.6139
"TM9SF2",0.8702,0.7017
"DEK",1.3722,1.1638
"GPI",1.3686,1.3304
"SF1",1.1421,1.1796
"EXOSC5",1.2086,1.0497
"TTC17",1.3654,1.273
"OASL",0.4837,0.226
"ADAM10",0.9007,0.519
"CASP10",1.758,1.7831
"TBC1D13",1.3082,1.343
"DBR1",1.3633,1.4606
"C6orf120",1.3457,1.2605
"AMT",1.2757,1.3971
"EML3",1.4989,1.2929
"POLL",0.7379,0.5689
"PSMB2",1.6541,1.5427
"RASSF5",1.0681,0.9012
"SEPT11",0.994,0.879
"VAMP2",1.2947,1.1684
"ST3GAL2",0.6884,0.434
"MS4A3",1.8135,1.9678
"ZNF207",1.4003,1.4409
"C2orf68",1.4774,1.2348
"CAPRIN1",1.4724,1.4785
"CSNK1G2",0.7764,0.6437
"YIPF4",0.7939,0.8121
"ALKBH5",1.7105,1.7403
"ZNF24",1.626,1.5003
"BAZ1A",0.8145,0.8053
"HERC6",1.5832,1.3673
"RCAN1",1.647,1.4644
"TECR",1.6014,1.4967
"PHACTR1",1.6442,1.6284
"DCLRE1C",1.5261,1.6196
"MAN2A2",0.7695,0.5475
"MBD4",1.9458,1.8717
"PRKACB",0.934,0.6924
"ZNF200",1.6688,1.6459
"DYNC1LI2",1.6188,1.4716
